"STEM_ID","IND_ID","MESH","X","Y","SP","LT","LD05","LD15","LD","DBH05","DBH15","DBH20","DBH","RGR20","RGRa","RGRb","ci1","ci2","ci3","ci4"
51,51,"ALT700A03",99.6,52,"ブナ","DB",0,0,0,13.3,14.6,15.2,15.3,0.824051724533422,1.86514986973165,0.93662599368198,6.8955200867173,3.65840077914863,3.23711930756866,0
52,52,"ALT700A03",97.4,51.3,"ケヤキ","DB",0,0,0,38.5,46.4,50.7,52.1,1.77945122038578,3.73282435876942,2.31730979054223,0,0,0,0
54,54,"ALT700A03",90.2,54.75,"アブラチャン","DB",0,0,0,5.2,7.2,7.6,7.7,2.3091864898368,6.50844800869256,1.34278605675257,35.5388040605648,13.4771171763866,22.0616868841782,0
55,55,"ALT700A03",92.5,55.25,"アカガシ","EB",0,0,0,20,25.2,28.2,28.7,2.12449911300932,4.62223441926773,2.60106256496396,33.6911382913662,25.150917777903,8.54022051346316,0
56,56,"ALT700A03",90.8,58.85,"シキミ","EB",0,0,0,12.5,13.1,13.3,13.3,0.364914064232075,0.937671717977009,0.303036100412045,27.8048424984683,5.61907985776479,22.1857626407035,0
58,58,"ALT700A03",93.55,57.7,"アカガシ","EB",0,0,0,24.8,28.9,30.3,30.7,1.25540589071891,3.059958838949,1.2084211894953,19.6811744307073,0,19.6811744307073,0
59,59,"ALT700A03",93.35,57.9,"シキミ","EB",0,0,0,6.8,7.2,7.1,7.2,0.336225963764404,1.14316827679897,0,81.6505424505924,28.3124075377032,53.3381349128891,0
60,60,"ALT700A03",95.75,58.35,"アカガシ","EB",0,0,0,9.5,10.8,11.3,11.4,1.07247974584679,2.56508671047358,1.08134442540552,23.7918686840099,4.95517954514502,18.8366891388649,0
62,62,"ALT700A04",94.4,64.4,"ブナ","DB",0,0,0,36.4,42.1,44.9,45.2,1.27369595409112,2.90957932091282,1.420986922997,14.2455737994764,0,14.2455737994764,0
63,63,"ALT700A04",90.3,60.8,"オオモミジ","DB",0,0,0,22.3,23.4,23.9,23.9,0.407598708655246,0.962986877951652,0.422848731476183,22.067622965648,3.47299203917169,18.5946309264763,0
64,64,"ALT700A04",90.5,63.8,"イタヤカエデ","DB",0,0,0,15,16.1,16.3,16.4,0.524889021929074,1.41538141776415,0.369241256794707,21.6542977193766,5.28022839550213,16.3740693238745,0
65,65,"ALT700A04",92.2,69.05,"ヒメシャラ","DB",0,0,0,12,12.2,12.3,12.3,0.145250662296304,0.33058603902421,0.163266212783221,25.0978553300956,4.79407757494597,20.3037777551496,0
67,67,"ALT700A04",95.4,67,"ヒメシャラ","DB",0,0,0,67.7,69.3,70.3,70.6,0.246729203417453,0.467174525552562,0.371704766066777,0,0,0,0
68,68,"ALT700A04",95.2,70.3,"シキミ","EB",0,0,0,6.6,8.5,8.7,8.8,1.69224748501048,5.05993028927782,0.693711159757802,38.1217712428828,1.43983100887717,36.6819402340056,0
69,69,"ALT700A04",93.6,71.95,"オオモミジ","DB",0,0,0,22.6,24.1,24.9,25.2,0.64055346023022,1.28523868436738,0.892643080415363,22.2094531682099,0,22.2094531682099,0
70,70,"ALT700A04",92.9,75.15,"マメザクラ","DB",0,0,0,6.2,6.6,NA,6.8,0.543372471358912,1.25040713962668,0.597059262993623,35.0297003840586,1.04565496345954,33.9840454205991,0
71,71,"ALT700A04",90.5,78.6,"ヒメシャラ","DB",0,0,0,32.1,34.3,35.3,35.7,0.62526269793896,1.32578648071848,0.800106692273988,13.583179459535,0,13.583179459535,0
76,76,"ALT700A04",96.8,74.8,"イタヤカエデ","DB",0,0,0,17.8,18.9,18.8,18.7,0.290147450367656,1.19926929535114,-0.212767964101115,15.3928128677106,0,15.3928128677106,0
77,77,"ALT700A04",98.15,74.95,"イタヤカエデ","DB",0,0,0,14.5,20.4,23.8,24.3,3.03722177011749,6.82772502847284,3.49882898992665,12.9787764994288,0,12.9787764994288,0
78,78,"ALT700A05",99.6,85,"イタヤカエデ","DB",0,0,0,21.5,27.5,30.2,30.7,2.09535129093844,4.92266139077817,2.20153299841252,13.3080901236042,0,13.3080901236042,0
84,84,"ALT700A05",95.05,82.05,"チドリノキ","DB",0,0,0,6,7.5,7.5,7.6,1.39052222390724,4.4628710262842,0.26490453500041,46.2010647318593,0.57201493167741,45.6290498001819,0
85,85,"ALT700A05",91.85,80.3,"オオモミジ","DB",0,0,0,15.3,16.5,17.9,18.4,1.08528138950912,1.5101510501629,2.1798056741681,19.7397163342451,0,19.7397163342451,0
86,86,"ALT700A05",91.6,80.25,"オオモミジ","DB",0,0,0,5.8,7.1,7.2,7.4,1.43307107445736,4.04473732989792,0.82770432325709,37.5695011171056,0.921251665159918,36.6482494519457,0
88,88,"ALT700A05",90.6,88.2,"オオモミジ","DB",0,0,0,25,30.1,30.5,25.3,0.0701680639133754,3.71298693773259,-3.47441552042711,21.6762401946597,0,21.6762401946597,0
89,89,"ALT700A05",94,89.2,"ヒメシャラ","DB",0,0,0,40.1,41.5,NA,28.1,-2.09180445866367,0.686341858482583,-7.79847701793905,16.7828397006745,0,16.7828397006745,0
90,90,"ALT700A05",96.7,88.3,"チドリノキ","DB",0,0,0,5.6,7,7.5,7.6,1.79636264441872,4.4628710262842,1.64476196473944,28.3770215226402,0,28.3770215226402,0
92,91,"ALT700A05",99.15,86.75,"アブラチャン","DB",0,0,0,6.5,7.4,7.8,7.9,1.14741519159638,2.59355646617065,1.30765518525703,44.9791411634267,0,44.9791411634267,0
94,94,"ALT700A05",94.6,93.05,"アブラチャン","DB",0,0,0,6.3,7.8,8.1,8.1,1.47832016635827,4.27148200596118,0.754806559656942,88.3711255839046,0,88.3711255839046,0
97,97,"ALT700A05",91.1,92.4,"ヒメシャラ","DB",0,0,0,43.4,44.8,45.4,45.8,0.316615588316353,0.634973966291605,0.441519033983997,0,0,0,0
98,98,"ALT700A05",90.4,97.6,"カジカエデ","DB",0,0,0,9.7,11.6,12.2,12.5,1.49178093411128,3.57758425205964,1.49447092391873,27.2228098181566,0,27.2228098181566,0
100,100,"ALT700A05",93.8,95.6,"ヒメシャラ","DB",0,0,0,33.8,34.3,34.6,34.8,0.171509319361503,0.293691033658422,0.289440652170689,21.3603909763879,0,21.3603909763879,0
106,104,"ALT700A05",92.6,99.3,"アブラチャン","DB",0,0,0,7.6,7.9,8,8,0.301725261103238,0.774290243613808,0.251575644137199,21.5719347706109,0,21.5719347706109,0
167,167,"ALT700A03",81.9,54.2,"ブナ","DB",0,1,0,26.9,NA,NA,18.9,-2.07626096789528,NA,NA,18.9369931108799,8.58948035930532,10.3475127515745,0
171,171,"ALT700A03",86.7,58.8,"アカガシ","EB",0,0,0,12,16.4,17.8,18.2,2.45008790761617,6.24749370084305,2.08280518505194,36.9079602102349,13.824969903004,23.0829903072309,0
172,171,"ALT700A03",86.9,58.7,"アカガシ","EB",0,0,0,6.6,11,12.3,12.5,3.75681761926986,10.2165124753198,2.5566674301977,57.6695337983923,7.61321274573282,50.0563210526595,0
